model_name , gamma_n_p,gamma_c_p,gamma_n_a,gamma_c_a,gamma_refractory_n_p,gamma_refractory_c_p,gamma_refractory_n_a,gamma_refractory_c_a,excretion_n_p,excretion_c_p,excretion_n_a,excretion_c_a
gamma_model_17 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.5,0.5
gamma_model_18 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.5,0.5,0.5
gamma_model_19 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.5,0.5,0.5,0.5
gamma_model_20 , 0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5,0.5,0.5,0.5,0.5
gamma_model_21 , 0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1
gamma_model_22 , 0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.5
gamma_model_23 , 0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.5,0.5
gamma_model_24 , 0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.5,0.5,0.5
gamma_model_25 , 0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.5,0.5,0.5,0.5
gamma_model_26 , 0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
gamma_model_27 , 0.05,0.05,0.05,0.05,0.05,0.05,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_28 , 0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gamma_model_29 , 0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.5
gamma_model_30 , 0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.5,0.5
gamma_model_31 , 0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.5,0.5,0.5
gamma_model_32 , 0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.5,0.5,0.5,0.5
gamma_model_33 , 0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.5,0.5,0.5,0.5,0.5
gamma_model_34 , 0.05,0.05,0.05,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_35 , 0.05,0.05,0.05,0.05,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_36 , 0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gamma_model_37 , 0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5
gamma_model_38 , 0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5
gamma_model_39 , 0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5
gamma_model_40 , 0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5
gamma_model_41 , 0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5
gamma_model_42 , 0.05,0.05,0.05,0.05,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_43 , 0.05,0.05,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_44 , 0.05,0.05,0.05,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_45 , 0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gamma_model_46 , 0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5
gamma_model_47 , 0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5
gamma_model_48 , 0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5
gamma_model_49 , 0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5
gamma_model_50 , 0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5
gamma_model_51 , 0.05,0.05,0.05,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_52 , 0.05,0.05,0.05,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_53 , 0.05,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_54 , 0.05,0.05,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_55 , 0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gamma_model_56 , 0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5
gamma_model_57 , 0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5
gamma_model_58 , 0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5
gamma_model_59 , 0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5
gamma_model_60 , 0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5
gamma_model_61 , 0.05,0.05,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_62 , 0.05,0.05,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_63 , 0.05,0.05,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_64 , 0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_65 , 0.05,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_66 , 0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gamma_model_67 , 0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5
gamma_model_68 , 0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5
gamma_model_69 , 0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5
gamma_model_70 , 0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5
gamma_model_71 , 0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5
gamma_model_72 , 0.05,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_73 , 0.05,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_74 , 0.05,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_75 , 0.05,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_76 , 0.05,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_77 , 0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_78 , 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gamma_model_79 , 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5
gamma_model_80 , 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5
gamma_model_81 , 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5
gamma_model_82 , 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5
gamma_model_83 , 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5
gamma_model_84 , 0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_85 , 0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_86 , 0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_87 , 0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_88 , 0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_89 , 0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gamma_model_90 , 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
