,PRO,ALT,sample,PRO.1,ALT.1,experiment,day,FL,PA
48,MIT9313,BS11,17A,190182.0546,10475940.59,exp1,100,0.05,"MIT9313,BS11"
49,MIT9313,BS11,17B,718010.4031,12597623.76,exp1,100,0.079,"MIT9313,BS11"
50,MIT9313,BS11,17C,1506046.814,10636039.6,exp1,100,0.09699999999999999,"MIT9313,BS11"
51,MIT9312,BS11,18A,6188621.586,12172574.26,exp1,100,0.33899999999999997,"MIT9312,BS11"
52,MIT9312,BS11,18B,11489921.98,15498118.81,exp1,100,0.485,"MIT9312,BS11"
53,MIT9312,BS11,18C,10866710.01,15697425.74,exp1,100,0.64,"MIT9312,BS11"
54,Natl2A,BS11,19A,10681753.55,18575438.6,exp1,100,1.197,"Natl2A,BS11"
55,Natl2A,BS11,19B,11673696.68,18966590.39,exp1,100,1.015,"Natl2A,BS11"
56,Natl2A,BS11,19C,13476777.25,19367505.72,exp1,100,0.708,"Natl2A,BS11"
57,MIT0604,BS11,20A,5950000.0,35224713.96,exp1,100,0.162,"MIT0604,BS11"
58,MIT0604,BS11,20B,8187203.791,30418306.64,exp1,100,0.276,"MIT0604,BS11"
59,MIT0604,BS11,20C,8451658.768,27470327.99,exp1,100,0.29100000000000004,"MIT0604,BS11"
60,MED4,ATCC,21A,18747630.33,36661784.9,exp1,100,0.43200000000000005,"MED4,ATCC"
61,MED4,ATCC,21B,17384360.19,35048360.03,exp1,100,0.382,"MED4,ATCC"
62,MED4,ATCC,21C,15028909.95,27109382.15,exp1,100,0.44299999999999995,"MED4,ATCC"
63,MIT9313,ATCC,22A,589099.5261,11476430.21,exp1,100,0.14400000000000002,"MIT9313,ATCC"
64,MIT9313,ATCC,22B,400947.8673,12076887.87,exp1,100,0.106,"MIT9313,ATCC"
65,MIT9313,ATCC,22C,1007109.005,11258276.13,exp1,100,0.14800000000000002,"MIT9313,ATCC"
66,MIT9312,ATCC,23A,11748104.27,13852326.47,exp1,100,0.557,"MIT9312,ATCC"
67,MIT9312,ATCC,23B,13035781.99,14625476.74,exp1,100,0.815,"MIT9312,ATCC"
68,MIT9312,ATCC,23C,8594549.763,11789473.68,exp1,100,0.946,"MIT9312,ATCC"
69,Natl2A,ATCC,24A,12856872.04,16436308.16,exp1,100,1.045,"Natl2A,ATCC"
70,Natl2A,ATCC,24B,12279146.92,15900839.05,exp1,100,0.8759999999999999,"Natl2A,ATCC"
71,Natl2A,ATCC,24C,14589336.49,17388558.35,exp1,100,0.823,"Natl2A,ATCC"
74,MIT0604,ATCC,25C,7109.004739,23185354.69,exp1,100,0.46,"MIT0604,ATCC"
105,MED4,1A3,1A,200.0,1584609.375,exp1,140,0.079,"MED4,1A3"
106,MED4,1A3,1B,620.0,1374765.625,exp1,140,0.08900000000000001,"MED4,1A3"
107,MED4,1A3,1C,9900.0,1624661.458,exp1,140,0.07,"MED4,1A3"
108,MIT9313,1A3,2A,33000.0,614947.9167,exp1,140,0.05,"MIT9313,1A3"
109,MIT9313,1A3,2B,780.0,364.5833333,exp1,140,0.05,"MIT9313,1A3"
110,MIT9313,1A3,2C,115760.0,238411.4583,exp1,140,0.055999999999999994,"MIT9313,1A3"
111,MIT9312,1A3,3A,30000.0,304140.625,exp1,140,0.075,"MIT9312,1A3"
112,MIT9312,1A3,3B,2100.0,279453.125,exp1,140,0.05,"MIT9312,1A3"
113,MIT9312,1A3,3C,3820.0,403671.875,exp1,140,0.08900000000000001,"MIT9312,1A3"
114,Natl2A,1A3,4A,133560.0,595598.9583,exp1,140,0.11599999999999999,"Natl2A,1A3"
115,Natl2A,1A3,4B,718840.0,703125.0,exp1,140,0.17600000000000002,"Natl2A,1A3"
116,Natl2A,1A3,4C,322700.0,1646276.042,exp1,140,0.05,"Natl2A,1A3"
117,MIT0604,1A3,5A,3318920.0,914739.5833,exp1,140,0.29600000000000004,"MIT0604,1A3"
118,MIT0604,1A3,5B,3767780.0,1120989.583,exp1,140,0.314,"MIT0604,1A3"
119,MIT0604,1A3,5C,6542080.0,643880.2083,exp1,140,0.445,"MIT0604,1A3"
120,MED4,DE,6A,202300.0,555651.0417,exp1,140,0.05,"MED4,DE"
121,MED4,DE,6B,8160.0,501458.3333,exp1,140,0.05,"MED4,DE"
122,MED4,DE,6C,68220.0,423203.125,exp1,140,0.08,"MED4,DE"
123,MIT9313,DE,7A,96740.0,317864.5833,exp1,140,0.05,"MIT9313,DE"
124,MIT9313,DE,7B,11380.0,379348.9583,exp1,140,0.05,"MIT9313,DE"
125,MIT9313,DE,7C,1020080.0,1233593.75,exp1,140,0.05,"MIT9313,DE"
126,MIT9312,DE,8A,1280.0,180442.7083,exp1,140,0.065,"MIT9312,DE"
127,MIT9312,DE,8B,14620.0,192317.7083,exp1,140,0.065,"MIT9312,DE"
128,MIT9312,DE,8C,6700.0,219140.625,exp1,140,0.05,"MIT9312,DE"
129,Natl2A,DE,9A,12160.0,550442.7083,exp1,140,0.055999999999999994,"Natl2A,DE"
130,Natl2A,DE,9B,554660.0,508906.25,exp1,140,0.14800000000000002,"Natl2A,DE"
131,Natl2A,DE,9C,1496860.0,449140.625,exp1,140,0.315,"Natl2A,DE"
132,MIT0604,DE,10A,3718500.0,205598.9583,exp1,140,0.212,"MIT0604,DE"
133,MIT0604,DE,10B,3797360.0,222682.2917,exp1,140,0.258,"MIT0604,DE"
134,MIT0604,DE,10C,3260860.0,412395.8333,exp1,140,0.218,"MIT0604,DE"
135,MED4,DE1,11A,10800.0,130442.7083,exp1,140,0.061,"MED4,DE1"
136,MED4,DE1,11B,3800.0,111406.25,exp1,140,0.07,"MED4,DE1"
137,MED4,DE1,11C,560.0,98750.0,exp1,140,0.05,"MED4,DE1"
138,MIT9313,DE1,12A,88160.0,111458.3333,exp1,140,0.07,"MIT9313,DE1"
139,MIT9313,DE1,12B,61740.0,13697.91667,exp1,140,0.05,"MIT9313,DE1"
140,MIT9313,DE1,12C,77540.0,25885.41667,exp1,140,0.05,"MIT9313,DE1"
141,MIT9312,DE1,13A,128255.2839,403671.875,exp1,140,0.061,"MIT9312,DE1"
142,MIT9312,DE1,13B,26953.99917,275234.375,exp1,140,0.05,"MIT9312,DE1"
143,MIT9312,DE1,13C,8089.515126,333489.5833,exp1,140,0.05,"MIT9312,DE1"
144,Natl2A,DE1,14A,3038988.811,1732265.625,exp1,140,0.34600000000000003,"Natl2A,DE1"
145,Natl2A,DE1,14B,2204608.371,1835208.333,exp1,140,0.406,"Natl2A,DE1"
146,Natl2A,DE1,14C,3424682.967,2151744.792,exp1,140,0.499,"Natl2A,DE1"
147,MIT0604,DE1,15A,4804873.601,1554453.125,exp1,140,0.272,"MIT0604,DE1"
148,MIT0604,DE1,15B,4210343.97,1502500.0,exp1,140,0.282,"MIT0604,DE1"
149,MIT0604,DE1,15C,2990700.373,1228906.25,exp1,140,0.20600000000000002,"MIT0604,DE1"
150,MED4,BS11,16A,12416.07957,1081640.625,exp1,140,0.055999999999999994,"MED4,BS11"
151,MED4,BS11,16B,38010.77497,1636328.125,exp1,140,0.051,"MED4,BS11"
152,MED4,BS11,16C,547.0368835,1181744.792,exp1,140,0.052000000000000005,"MED4,BS11"
153,MIT9313,BS11,17A,9448.818898,960338.5417,exp1,140,0.061,"MIT9313,BS11"
154,MIT9313,BS11,17B,13526.73021,2236354.167,exp1,140,0.071,"MIT9313,BS11"
155,MIT9313,BS11,17C,13443.84584,714192.7083,exp1,140,0.05,"MIT9313,BS11"
156,MIT9312,BS11,18A,6348.943224,279869.7917,exp1,140,0.05,"MIT9312,BS11"
157,MIT9312,BS11,18B,5155.408206,233359.375,exp1,140,0.07,"MIT9312,BS11"
158,MIT9312,BS11,18C,1392.457522,301718.75,exp1,140,0.05,"MIT9312,BS11"
159,Natl2A,BS11,19A,2659262.329,1819270.833,exp1,140,0.43700000000000006,"Natl2A,BS11"
160,Natl2A,BS11,19B,1127890.593,1720442.708,exp1,140,0.36200000000000004,"Natl2A,BS11"
161,Natl2A,BS11,19C,443315.3751,1224843.75,exp1,140,0.094,"Natl2A,BS11"
162,MIT0604,BS11,20A,1541.649399,2834713.542,exp1,140,0.061,"MIT0604,BS11"
163,MIT0604,BS11,20B,3912.142561,1801484.375,exp1,140,0.08,"MIT0604,BS11"
164,MIT0604,BS11,20C,22511.3966,2387786.458,exp1,140,0.062,"MIT0604,BS11"
165,MED4,ATCC,21A,5138.83133,1412890.625,exp1,140,0.066,"MED4,ATCC"
166,MED4,ATCC,21B,80464.15251,1133020.833,exp1,140,0.057,"MED4,ATCC"
167,MED4,ATCC,21C,518773.3112,1011380.208,exp1,140,0.121,"MED4,ATCC"
168,MIT9313,ATCC,22A,78392.0431,2276171.875,exp1,140,0.05,"MIT9313,ATCC"
169,MIT9313,ATCC,22B,69440.53046,2209895.833,exp1,140,0.05,"MIT9313,ATCC"
170,MIT9313,ATCC,22C,53244.92333,1891354.167,exp1,140,0.05,"MIT9313,ATCC"
171,MIT9312,ATCC,23A,3182.76005,481927.0833,exp1,140,0.052000000000000005,"MIT9312,ATCC"
172,MIT9312,ATCC,23B,232.0762536,474973.9583,exp1,140,0.066,"MIT9312,ATCC"
173,MIT9312,ATCC,23C,679.6518856,712343.75,exp1,140,0.05,"MIT9312,ATCC"
174,Natl2A,ATCC,24A,384417.7373,1206875.0,exp1,140,0.085,"Natl2A,ATCC"
175,Natl2A,ATCC,24B,340704.5172,694661.4583,exp1,140,0.14400000000000002,"Natl2A,ATCC"
176,Natl2A,ATCC,24C,1164011.604,1299739.583,exp1,140,0.09699999999999999,"Natl2A,ATCC"
179,MIT0604,ATCC,25C,1452120.0,,exp1,140,0.12,"MIT0604,ATCC"
210,MED4,1A3,1A,31092165.9,95617010.94,exp1,60,0.5579999999999999,"MED4,1A3"
211,MED4,1A3,1B,30430184.33,112758201.7,exp1,60,0.68,"MED4,1A3"
212,MED4,1A3,1C,29960829.49,,exp1,60,0.672,"MED4,1A3"
213,MIT9313,1A3,2A,32369124.42,40963548.0,exp1,60,0.5770000000000001,"MIT9313,1A3"
214,MIT9313,1A3,2B,33126728.11,39112029.16,exp1,60,0.517,"MIT9313,1A3"
215,MIT9313,1A3,2C,30480875.58,37842284.33,exp1,60,0.413,"MIT9313,1A3"
216,MIT9312,1A3,3A,20529493.09,36834264.88,exp1,60,1.3119999999999998,"MIT9312,1A3"
217,MIT9312,1A3,3B,18756912.44,33354799.51,exp1,60,1.2209999999999999,"MIT9312,1A3"
218,MIT9312,1A3,3C,14353225.81,25618712.03,exp1,60,1.1159999999999999,"MIT9312,1A3"
219,Natl2A,1A3,4A,26923963.13,35848602.67,exp1,60,1.396,"Natl2A,1A3"
220,Natl2A,1A3,4B,35797926.27,49364277.04,exp1,60,1.6869999999999998,"Natl2A,1A3"
221,Natl2A,1A3,4C,31758986.18,43193681.65,exp1,60,1.5019999999999998,"Natl2A,1A3"
222,MIT0604,1A3,5A,34596774.19,74265127.58,exp1,60,0.89,"MIT0604,1A3"
223,MIT0604,1A3,5B,34279493.09,74948967.19,exp1,60,0.973,"MIT0604,1A3"
224,MIT0604,1A3,5C,29191244.24,70114216.28,exp1,60,0.951,"MIT0604,1A3"
225,MED4,DE,6A,14562211.98,70210206.56,exp1,60,0.442,"MED4,DE"
226,MED4,DE,6B,13987327.19,79278007.29,exp1,60,0.489,"MED4,DE"
227,MED4,DE,6C,17573732.72,79638639.13,exp1,60,0.596,"MED4,DE"
228,MIT9313,DE,7A,5753456.221,19916160.39,exp1,60,0.308,"MIT9313,DE"
229,MIT9313,DE,7B,6023963.134,34139732.69,exp1,60,0.324,"MIT9313,DE"
230,MIT9313,DE,7C,6305529.954,28562332.93,exp1,60,0.344,"MIT9313,DE"
231,MIT9312,DE,8A,15049308.76,22325880.92,exp1,60,1.1340000000000001,"MIT9312,DE"
232,MIT9312,DE,8B,15264055.3,24896476.31,exp1,60,1.023,"MIT9312,DE"
233,MIT9312,DE,8C,16222119.82,26140218.71,exp1,60,1.161,"MIT9312,DE"
234,Natl2A,DE,9A,48495391.71,77630376.67,exp1,60,1.735,"Natl2A,DE"
235,Natl2A,DE,9B,47678801.84,73675091.13,exp1,60,1.9480000000000002,"Natl2A,DE"
236,Natl2A,DE,9C,41993548.39,65120534.63,exp1,60,1.766,"Natl2A,DE"
237,MIT0604,DE,10A,21202073.73,60472904.01,exp1,60,0.5720000000000001,"MIT0604,DE"
238,MIT0604,DE,10B,24125115.21,66215552.86,exp1,60,0.711,"MIT0604,DE"
239,MIT0604,DE,10C,20906451.61,62531956.26,exp1,60,0.726,"MIT0604,DE"
240,MED4,DE1,11A,12621428.57,72820899.15,exp1,60,0.444,"MED4,DE1"
241,MED4,DE1,11B,11810138.25,65786634.26,exp1,60,0.405,"MED4,DE1"
242,MED4,DE1,11C,12794930.88,81642284.33,exp1,60,0.456,"MED4,DE1"
243,MIT9313,DE1,12A,6800691.244,23009234.51,exp1,60,0.284,"MIT9313,DE1"
244,MIT9313,DE1,12B,5115207.373,19267071.69,exp1,60,0.259,"MIT9313,DE1"
245,MIT9313,DE1,12C,5849078.341,21888699.88,exp1,60,0.237,"MIT9313,DE1"
246,MIT9312,DE1,13A,27788444.44,13164930.11,exp1,60,1.032,"MIT9312,DE1"
247,MIT9312,DE1,13B,34301333.33,3308259.212,exp1,60,1.1079999999999999,"MIT9312,DE1"
248,MIT9312,DE1,13C,18462666.67,11238627.7,exp1,60,0.8190000000000001,"MIT9312,DE1"
249,Natl2A,DE1,14A,33868000.0,56768487.93,exp1,60,1.088,"Natl2A,DE1"
250,Natl2A,DE1,14B,46918666.67,86127064.8,exp1,60,1.4080000000000001,"Natl2A,DE1"
251,Natl2A,DE1,14C,52780000.0,94759339.26,exp1,60,1.6030000000000002,"Natl2A,DE1"
252,MIT0604,DE1,15A,27220888.89,71830241.42,exp1,60,0.5329999999999999,"MIT0604,DE1"
253,MIT0604,DE1,15B,26430222.22,67488182.97,exp1,60,0.5760000000000001,"MIT0604,DE1"
254,MIT0604,DE1,15C,19906666.67,50668869.12,exp1,60,0.355,"MIT0604,DE1"
255,MED4,BS11,16A,23974222.22,116429479.0,exp1,60,0.474,"MED4,BS11"
256,MED4,BS11,16B,24704888.89,117571537.5,exp1,60,0.523,"MED4,BS11"
257,MED4,BS11,16C,19643111.11,120890470.1,exp1,60,0.428,"MED4,BS11"
258,MIT9313,BS11,17A,8443555.556,23640660.74,exp1,60,0.239,"MIT9313,BS11"
259,MIT9313,BS11,17B,8206222.222,31600000.0,exp1,60,0.295,"MIT9313,BS11"
260,MIT9313,BS11,17C,5496000.0,28783735.71,exp1,60,0.223,"MIT9313,BS11"
261,MIT9312,BS11,18A,10268000.0,20416264.29,exp1,60,0.684,"MIT9312,BS11"
262,MIT9312,BS11,18B,23565333.33,41982210.93,exp1,60,1.0759999999999998,"MIT9312,BS11"
263,MIT9312,BS11,18C,21704444.44,46035069.89,exp1,60,1.036,"MIT9312,BS11"
264,Natl2A,BS11,19A,77845777.78,123194409.1,exp1,60,2.498,"Natl2A,BS11"
265,Natl2A,BS11,19B,69432000.0,113186277.0,exp1,60,2.267,"Natl2A,BS11"
266,Natl2A,BS11,19C,45215555.56,60082337.99,exp1,60,1.474,"Natl2A,BS11"
267,MIT0604,BS11,20A,18476888.89,108662261.8,exp1,60,0.40399999999999997,"MIT0604,BS11"
268,MIT0604,BS11,20B,16533777.78,96182973.32,exp1,60,0.355,"MIT0604,BS11"
269,MIT0604,BS11,20C,19152000.0,99566963.15,exp1,60,0.371,"MIT0604,BS11"
270,MED4,ATCC,21A,23440000.0,78737484.12,exp1,60,0.644,"MED4,ATCC"
271,MED4,ATCC,21B,26588888.89,118781702.7,exp1,60,0.6409999999999999,"MED4,ATCC"
272,MED4,ATCC,21C,22406666.67,68520965.69,exp1,60,0.6409999999999999,"MED4,ATCC"
273,MIT9313,ATCC,22A,9344444.444,59245743.33,exp1,60,0.28300000000000003,"MIT9313,ATCC"
274,MIT9313,ATCC,22B,7127111.111,43782465.06,exp1,60,0.28600000000000003,"MIT9313,ATCC"
275,MIT9313,ATCC,22C,7662222.222,54003557.81,exp1,60,0.27899999999999997,"MIT9313,ATCC"
276,MIT9312,ATCC,23A,16249333.33,23231003.81,exp1,60,0.9790000000000001,"MIT9312,ATCC"
277,MIT9312,ATCC,23B,17624000.0,26232274.46,exp1,60,1.173,"MIT9312,ATCC"
278,MIT9312,ATCC,23C,20936444.44,28043710.29,exp1,60,1.183,"MIT9312,ATCC"
279,Natl2A,ATCC,24A,35644888.89,55372299.87,exp1,60,1.113,"Natl2A,ATCC"
280,Natl2A,ATCC,24B,32907555.56,54999237.61,exp1,60,0.919,"Natl2A,ATCC"
281,Natl2A,ATCC,24C,35346222.22,49393138.5,exp1,60,1.113,"Natl2A,ATCC"
284,MIT0604,ATCC,25C,21943488.37,,exp1,60,0.629,"MIT0604,ATCC"
